,index,pgid,year,quarter,lat,lon,iso3,wp_land_area,wp_pop_count,wp_pop_density,latbin,lonbin,ID,Severity,num_days,YEAR,num_days_multiply_pop_density,num_days_multiply_pop_density_log,boxcoxb,boxcoxb_log,num_days_multiply_pop_density_log_minmax,boxcoxb_log_minmax
25757,25757,180501,2023,4,35.25,70.25,AFG,2523.881984,70301.68385431156,27.854584445701068,35.5,70.5,10194.0,4.0,2.0,4042.0,55.709168891402136,4.037935906503312,3.3373845505212323,0.24929808784963212,0.2694312815565796,0.24929808784963212
26063,26063,181221,2023,4,35.75,70.25,AFG,2508.204032,21243.038591389024,8.469422072673321,35.5,70.5,10194.0,4.0,2.0,4042.0,16.938844145346643,2.886968425644575,2.0203003243607003,0.12955903862862217,0.1432959116341112,0.12955903862862217
26814,26814,181890,2023,4,36.25,44.75,IRQ,2417.404416,260590.3247177344,107.79757122679733,36.5,44.5,5143.0,1.5,3.0,2021.0,323.392713680392,5.781954861077763,5.410364427758687,0.43775728781916,0.4605595972088308,0.43775728781916
26815,26815,181889,2023,4,36.25,44.25,IRQ,2492.310016,740474.1593125155,297.10355235057386,36.5,44.5,5143.0,1.5,3.0,2021.0,891.3106570517216,6.793814342185364,6.646432622243006,0.5501309898498479,0.5714500194680578,0.5501309898498479
26818,26818,182610,2023,4,36.75,44.75,IRQ,2476.33792,265803.93521279166,107.33750554237432,36.5,44.5,5143.0,1.5,3.0,2021.0,322.012516627123,5.777691073639413,5.405202900905127,0.4372880419609998,0.4600923256179724,0.4372880419609998
26967,26967,182609,2023,4,36.75,44.25,IRQ,2476.33792,377894.0768757913,152.60198288115353,36.5,44.5,5143.0,1.5,3.0,2021.0,457.8059486434606,6.128627350828226,5.831392147021628,0.47603385191346737,0.49855168948236106,0.47603385191346737
27696,27696,181789,2023,4,36.25,-5.75,ESP,2072.802944,75248.80070421608,36.302920604215466,36.5,-5.5,10238.0,2.0,2.0,4042.0,72.60584120843093,4.298724386830641,3.6420362904557884,0.276994653459282,0.29801128228176377,0.276994653459282
27800,27800,181790,2023,4,36.25,-5.25,ESP,1071.385472,371236.6283756853,346.5014582311653,36.5,-5.5,10238.0,2.0,2.0,4042.0,693.0029164623306,6.542476162893264,6.33740229608722,0.5220363572520368,0.5439056841606907,0.5220363572520368
27804,27804,182510,2023,4,36.75,-5.25,ESP,2476.33792,117390.48408021173,47.40487278901408,36.5,-5.5,10238.0,2.0,2.0,4042.0,94.80974557802816,4.562364408174736,3.9520728509740914,0.30518076505552616,0.326903785477244,0.30518076505552616
27811,27811,182509,2023,4,36.75,-5.75,ESP,2466.017024,119130.54557517766,48.30889017219439,36.5,-5.5,10238.0,2.0,2.0,4042.0,96.61778034438878,4.581059652486798,3.974133714115649,0.3071863670702625,0.3289526110056016,0.3071863670702625
28270,28270,194116,2023,4,44.75,37.75,RUS,1517.817472,394739.9864358621,260.070788298227,44.5,37.5,10188.0,3.0,4.0,4042.0,1040.283153192908,6.948209032775289,6.8368884129820335,0.567445748351061,0.5883702467859445,0.567445748351061
28757,28757,176301,2023,4,32.25,130.25,JPN,1509.31712,195837.98174586773,129.75270680416568,32.5,130.5,10222.0,3.0,10.0,4042.0,1297.5270680416568,7.168985876508684,7.110030452299778,0.5922776971669207,0.6125653429270185,0.5922776971669207
28758,28758,177021,2023,4,32.75,130.25,JPN,1100.155648,348366.7200843258,316.6522125461341,32.5,130.5,10222.0,3.0,10.0,4042.0,3166.5221254613407,8.060704897320493,8.22234743004816,0.6934009015167577,0.710289484075715,0.6934009015167577
28811,28811,176302,2023,4,32.25,130.75,JPN,2547.000832,185857.11253335368,72.97096655732607,32.5,130.5,10222.0,3.0,10.0,4042.0,729.7096655732606,6.594016206536783,6.400669087443568,0.5277880816245598,0.5495539953240479,0.5277880816245598
28813,28813,177022,2023,4,32.75,130.75,JPN,2318.448128,1211576.0010511307,522.5805945015004,32.5,130.5,10222.0,3.0,10.0,4042.0,5225.805945015004,8.561555652524424,8.853108952531924,0.7507448309992121,0.7651780854777813,0.7507448309992121
28863,28863,179896,2023,4,34.75,127.75,KOR,1177.093376,524555.150892014,445.6359721219041,34.5,127.5,10184.0,3.0,4.0,4042.0,1782.5438884876164,7.486357612563241,7.504280066763652,0.628119804341242,0.6473463441246456,0.628119804341242
28869,28869,179895,2023,4,34.75,127.25,KOR,1979.519872,157711.96124453822,79.67182521143097,34.5,127.5,10184.0,3.0,4.0,4042.0,318.6873008457239,5.767343333180274,5.392678171787458,0.43614939104823913,0.458958309155838,0.43614939104823913
30114,30114,152442,2023,4,15.75,80.75,IND,1164.740608,260505.145507506,223.65936562890576,15.5,80.5,5137.0,1.5,8.0,2021.0,1789.274925031246,7.490124476444087,7.508970484683256,0.6285462206409648,0.6477591574985765,0.6285462206409648
